date,chlorophyll_a,temperature,dissolved_oxygen,pH,Salinity,Turbidity,conductivity
2023-08-05 20:00:00,3.022,20.239,7.607,8.162,35.233,2.089,53.287
2023-08-05 20:30:00,3.226,20.231,7.486,8.159,35.22,2.263,53.27
2023-08-05 21:00:00,1.939,20.187,7.49,8.154,35.218,2.67,53.268
2023-08-05 21:30:00,2.262,20.198,7.556,8.16,35.256,2.432,53.318
2023-08-05 22:00:00,2.246,20.197,7.567,8.161,35.277,2.308,53.346
2023-08-05 22:30:00,1.855,20.137,7.523,8.159,35.24,2.156,53.296
2023-08-05 23:00:00,2.097,20.217,7.579,8.163,35.298,2.074,53.374
2023-08-05 23:30:00,1.935,20.147,7.554,8.159,35.277,2.137,53.346
2023-08-06 00:00:00,2.016,20.115,7.538,8.161,35.286,1.978,53.358
2023-08-06 00:30:00,2.019,20.1,7.507,8.162,35.288,1.968,53.361
2023-08-06 01:00:00,2.079,20.058,7.473,8.165,35.29,1.937,53.363
2023-08-06 01:30:00,1.691,19.947,7.488,8.163,35.237,1.859,53.291
2023-08-06 02:00:00,1.716,19.911,7.482,8.168,35.255,1.727,53.315
2023-08-06 02:30:00,1.483,19.844,7.073,8.174,35.237,1.694,53.291
2023-08-06 03:00:00,1.258,19.86,4.837,8.163,35.255,1.632,53.316
2023-08-06 03:30:00,1.238,19.851,6.797,8.173,35.258,8.774,53.32
2023-08-06 04:00:00,1.2,19.875,6.908,8.162,35.271,1.614,53.338
2023-08-06 04:30:00,1.037,19.823,7.075,8.181,35.259,3.423,53.321
2023-08-06 05:00:00,1.089,19.81,7.275,8.177,35.26,1.699,53.322
2023-08-06 05:30:00,1.45,19.806,7.113,8.165,35.252,1.688,53.311
2023-08-06 06:00:00,1.179,19.706,7.188,8.168,35.11,1.871,53.119
2023-08-06 06:30:00,1.521,19.58,7.159,8.166,35.091,1.618,53.094
2023-08-06 07:00:00,1.823,19.72,7.271,8.157,35.188,1.917,53.225
2023-08-06 07:30:00,2.064,19.579,7.259,8.164,35.047,2.284,53.034
2023-08-06 08:00:00,2.49,19.533,7.297,8.16,34.791,1.906,52.689
2023-08-06 08:30:00,2.175,19.592,7.364,8.161,34.83,1.817,52.742
2023-08-06 09:00:00,1.563,19.627,7.372,8.16,34.79,1.815,52.687
2023-08-06 09:30:00,1.017,19.745,7.404,8.161,35.018,1.812,52.995
2023-08-06 10:00:00,0.719,19.943,7.367,8.151,35.103,1.924,53.111
2023-08-06 10:30:00,1.098,19.841,7.381,8.157,35.233,2.164,53.286
2023-08-06 11:00:00,0.69,19.989,7.368,8.151,34.727,1.822,52.604
2023-08-06 11:30:00,0.5,19.689,7.591,8.163,34.384,1.578,52.14
2023-08-06 12:00:00,0.669,19.651,7.617,8.162,34.179,1.593,51.861
2023-08-06 12:30:00,0.312,19.745,7.652,8.166,34.456,1.625,52.237
2023-08-06 13:00:00,0.938,19.834,7.62,8.162,34.374,1.606,52.127
2023-08-06 13:30:00,0.753,19.891,7.655,8.163,34.386,1.486,52.143
2023-08-06 14:00:00,1.1,20.002,7.688,8.163,34.461,1.523,52.245
2023-08-06 14:30:00,1.122,20.111,7.7,8.164,34.595,1.492,52.426
2023-08-06 15:00:00,1.419,20.025,7.725,8.166,34.611,1.46,52.448
2023-08-06 15:30:00,1.508,20.007,7.745,8.167,34.597,1.519,52.429
2023-08-06 16:00:00,1.882,20.137,7.754,8.168,34.786,1.596,52.684
2023-08-06 16:30:00,2.403,20.177,7.754,8.168,34.843,1.647,52.762
2023-08-06 17:00:00,1.921,20.191,7.753,8.171,34.848,1.784,52.768
2023-08-06 17:30:00,2.477,20.162,7.72,8.169,34.777,1.598,52.672
2023-08-06 18:00:00,2.193,20.08,7.704,8.168,34.801,1.542,52.705
2023-08-06 18:30:00,2.933,20.11,7.69,8.171,34.862,1.721,52.787
2023-08-06 19:00:00,3.077,20.097,7.593,8.167,34.859,1.596,52.783
2023-08-06 19:30:00,2.467,20.081,7.437,8.173,34.847,1.672,52.766
2023-08-06 20:00:00,3.015,19.874,7.573,8.17,34.629,1.528,52.471
2023-08-06 20:30:00,2.65,19.934,7.578,8.168,34.716,1.723,52.588
2023-08-06 21:00:00,3.418,19.814,7.486,8.173,34.572,1.752,52.394
2023-08-06 21:30:00,2.819,19.808,7.551,8.177,34.507,1.932,52.307
2023-08-06 22:00:00,2.459,19.876,7.619,8.164,34.622,1.97,52.462
2023-08-06 22:30:00,2.68,19.849,7.542,8.171,34.636,1.891,52.481
2023-08-06 23:00:00,2.589,19.944,7.57,8.164,34.859,1.97,52.781
2023-08-06 23:30:00,2.276,19.964,7.612,8.181,34.829,2.005,52.742
2023-08-07 00:00:00,2.395,19.794,7.486,8.17,34.484,1.666,52.275
2023-08-07 00:30:00,1.918,18.864,7.679,8.183,32.031,2.158,48.937
2023-08-07 01:00:00,1.61,19.387,7.546,8.169,34.003,1.707,51.622
2023-08-07 01:30:00,1.654,19.418,7.43,8.165,34.215,1.644,51.91
2023-08-07 02:00:00,1.621,19.583,7.357,8.161,34.413,1.592,52.178
2023-08-07 02:30:00,1.982,19.338,7.45,8.169,34.097,1.677,51.751
2023-08-07 03:00:00,1.64,18.914,7.558,8.179,33.578,1.781,51.046
2023-08-07 03:30:00,0.966,18.83,7.556,8.177,33.715,1.786,51.232
2023-08-07 04:00:00,1.335,18.599,7.58,8.18,33.431,1.677,50.848
2023-08-07 04:30:00,1.669,18.477,7.571,8.18,33.278,1.662,50.64
2023-08-07 05:00:00,1.412,18.289,7.485,8.184,33.16,1.71,50.481
2023-08-07 05:30:00,1.292,18.281,7.484,8.188,33.108,2.221,50.41
2023-08-07 06:00:00,1.272,18.589,7.477,8.177,33.42,1.617,50.833
2023-08-07 06:30:00,0.645,19.02,7.359,8.178,33.987,1.695,51.601
2023-08-07 07:00:00,1.171,18.585,7.462,8.179,33.228,1.662,50.572
2023-08-07 07:30:00,0.968,18.25,7.467,8.181,32.836,1.726,50.039
2023-08-07 08:00:00,1.057,18.095,7.553,8.181,33.102,1.645,50.403
2023-08-07 08:30:00,1.345,18.177,7.548,8.184,33.334,1.784,50.718
2023-08-07 09:00:00,1.695,18.565,7.649,8.182,33.721,1.571,51.242
2023-08-07 09:30:00,0.529,18.474,7.612,8.178,33.468,1.627,50.898
2023-08-07 10:00:00,0.623,18.8,7.522,8.166,33.873,1.493,51.448
2023-08-07 10:30:00,0.312,19.231,8.058,8.185,34.172,1.702,51.851
2023-08-07 11:00:00,0.427,19.188,7.928,8.181,33.874,1.683,51.447
2023-08-07 11:30:00,0.356,19.086,7.997,8.185,33.539,1.594,50.993
2023-08-07 12:00:00,0.708,19.008,7.988,8.185,33.365,1.65,50.757
2023-08-07 12:30:00,0.703,19.141,7.949,8.182,33.411,1.585,50.82
2023-08-07 13:00:00,1.187,19.212,7.983,8.184,33.443,1.635,50.863
2023-08-07 13:30:00,1.17,19.39,7.942,8.178,33.678,1.656,51.182
2023-08-07 14:00:00,0.997,19.59,7.929,8.176,33.899,1.502,51.482
2023-08-07 14:30:00,1.45,19.729,7.944,8.177,34.051,1.6,51.689
2023-08-07 15:00:00,1.363,19.804,7.879,8.177,34.316,1.707,52.047
2023-08-07 15:30:00,1.774,19.83,7.825,8.177,34.374,1.815,52.126
2023-08-07 16:00:00,2.154,19.816,7.932,8.174,34.444,1.779,52.22
2023-08-07 16:30:00,2.16,19.8,7.932,8.176,34.48,1.697,52.269
2023-08-07 17:00:00,2.654,19.773,7.934,8.176,34.443,1.633,52.219
2023-08-07 17:30:00,3.121,19.728,7.912,8.178,34.453,1.863,52.233
2023-08-07 18:00:00,3.73,19.686,7.667,8.179,34.46,1.726,52.243
2023-08-07 18:30:00,3.065,19.659,7.907,8.177,34.49,1.786,52.282
2023-08-07 19:00:00,3.134,19.609,7.883,8.174,34.487,1.692,52.279
2023-08-07 19:30:00,3.141,19.261,7.829,8.172,34.185,1.571,51.869
2023-08-07 20:00:00,2.647,19.384,7.747,8.164,34.125,1.622,51.788
2023-08-07 20:30:00,3.057,19.351,7.827,8.173,34.174,1.779,51.855
2023-08-07 21:00:00,3.623,19.466,7.81,8.172,34.355,1.729,52.1
2023-08-07 21:30:00,3.842,19.479,7.768,8.172,34.409,1.85,52.173
2023-08-07 22:00:00,3.519,19.426,7.752,8.173,34.492,1.737,52.284
2023-08-07 22:30:00,3.721,19.372,7.626,8.172,34.371,1.989,52.121
2023-08-07 23:00:00,4.061,19.341,7.377,8.171,34.362,1.902,52.109
2023-08-07 23:30:00,3.64,19.259,7.543,8.176,34.312,2.017,52.041
2023-08-08 00:00:00,3.397,19.2,7.046,8.175,34.293,1.904,52.015
2023-08-08 00:30:00,3.999,19.24,7.596,8.173,34.325,2.038,52.059
2023-08-08 01:00:00,3.041,19.386,7.422,8.172,34.443,2.061,52.218
2023-08-08 01:30:00,3.105,19.253,7.632,8.178,34.373,1.823,52.124
2023-08-08 02:00:00,2.935,19.264,7.663,8.171,34.408,1.958,52.172
2023-08-08 02:30:00,2.384,19.252,7.649,8.17,34.43,1.96,52.202
2023-08-08 03:00:00,2.833,19.177,7.65,8.17,34.418,1.815,52.184
2023-08-08 03:30:00,2.697,19.105,7.624,8.17,34.369,1.783,52.119
2023-08-08 04:00:00,2.388,19.133,7.566,8.167,34.465,1.717,52.248
2023-08-08 04:30:00,2.282,19.074,7.556,8.168,34.478,1.72,52.266
2023-08-08 05:00:00,2.123,19.081,7.516,8.165,34.513,1.696,52.314
2023-08-08 05:30:00,2.212,19.008,7.487,8.164,34.55,1.7,52.364
2023-08-08 06:00:00,2.33,18.952,7.486,8.164,34.525,1.732,52.329
2023-08-08 06:30:00,2.767,18.755,7.477,8.166,34.347,1.708,52.089
2023-08-08 07:00:00,2.564,18.603,7.486,8.163,34.195,1.667,51.885
2023-08-08 07:30:00,3.04,19.173,7.325,8.156,34.649,1.483,52.498
2023-08-08 08:00:00,3.333,18.914,7.444,8.162,34.458,1.57,52.239
2023-08-08 08:30:00,5.208,18.914,7.528,8.167,34.455,1.636,52.235
2023-08-08 09:00:00,4.286,18.985,7.534,8.164,34.516,1.652,52.318
2023-08-08 09:30:00,3.54,18.885,7.555,8.166,34.379,1.597,52.132
2023-08-08 10:00:00,3.762,19.011,7.585,8.166,34.527,1.618,52.332
2023-08-08 10:30:00,2.261,19.034,7.597,8.165,34.491,1.743,52.283
2023-08-08 11:00:00,3.041,19.055,7.563,8.161,34.593,1.912,52.421
2023-08-08 11:30:00,2.168,19.111,7.487,8.156,34.65,2.165,52.498
2023-08-08 12:00:00,2.183,19.111,7.748,8.169,34.545,1.886,52.356
2023-08-08 12:30:00,1.467,19.179,7.921,8.176,34.452,1.69,52.23
2023-08-08 13:00:00,1.709,19.279,8.065,8.182,34.496,1.703,52.29
2023-08-08 13:30:00,1.856,19.373,8.124,8.185,34.553,1.752,52.367
2023-08-08 14:00:00,2.301,19.41,8.131,8.185,34.558,1.856,52.375
2023-08-08 14:30:00,2.845,19.42,8.099,8.182,34.57,1.941,52.39
2023-08-08 15:00:00,3.256,19.427,8.074,8.18,34.597,2.133,52.427
2023-08-08 15:30:00,3.877,19.429,8.08,8.181,34.609,2.017,52.443
2023-08-08 16:00:00,3.442,19.43,8.075,8.182,34.616,2.003,52.452
2023-08-08 16:30:00,3.366,19.416,8.1,8.183,34.616,2.055,52.453
2023-08-08 17:00:00,2.963,19.405,8.08,8.182,34.633,2.166,52.475
2023-08-08 17:30:00,3.362,19.37,8.078,8.184,34.626,2.121,52.466
2023-08-08 18:00:00,3.415,19.357,8.024,8.182,34.654,2.144,52.504
2023-08-08 18:30:00,3.262,19.333,7.963,8.18,34.685,2.014,52.545
2023-08-08 19:00:00,3.655,19.322,7.871,8.181,34.724,2.048,52.598
2023-08-08 19:30:00,3.829,19.299,7.857,8.178,34.713,1.874,52.583
2023-08-08 20:00:00,3.507,19.275,7.826,8.177,34.718,1.821,52.591
2023-08-08 20:30:00,2.889,19.252,7.747,8.175,34.745,1.938,52.627
2023-08-08 21:00:00,3.173,19.187,7.675,8.173,34.75,1.877,52.633
2023-08-08 21:30:00,3.366,19.173,7.635,8.172,34.761,1.89,52.649
2023-08-08 22:00:00,3.468,19.169,7.634,8.172,34.76,1.846,52.647
2023-08-08 22:30:00,3.65,19.135,7.604,8.171,34.748,1.91,52.631
2023-08-08 23:00:00,4.052,19.09,7.498,8.172,34.751,1.842,52.635
2023-08-08 23:30:00,4.121,19.094,7.426,8.173,34.757,2.018,52.643
2023-08-09 00:00:00,3.842,19.003,7.155,8.164,34.697,1.946,52.562
2023-08-09 00:30:00,4.059,19.058,7.533,8.168,34.736,1.752,52.614
2023-08-09 01:00:00,4.141,18.993,7.428,8.167,34.711,1.873,52.581
2023-08-09 01:30:00,3.627,18.916,7.538,8.164,34.696,1.924,52.562
2023-08-09 02:00:00,3.093,18.929,7.513,8.163,34.718,1.838,52.591
2023-08-09 02:30:00,2.951,18.927,7.483,8.163,34.723,1.842,52.597
2023-08-09 03:00:00,3.15,18.913,7.452,8.161,34.715,1.812,52.587
2023-08-09 03:30:00,3.81,18.863,7.376,8.162,34.707,2.053,52.576
2023-08-09 04:00:00,2.959,18.864,7.282,8.157,34.722,1.729,52.597
2023-08-09 04:30:00,2.653,18.802,6.787,8.172,34.724,4.445,52.599
2023-08-09 05:00:00,2.952,18.802,7.343,8.159,34.711,1.81,52.582
2023-08-09 05:30:00,2.436,18.746,7.297,8.154,34.723,1.634,52.599
2023-08-09 06:00:00,2.244,18.714,7.262,8.153,34.71,1.604,52.58
2023-08-09 06:30:00,2.647,18.676,7.232,8.153,34.708,1.65,52.578
2023-08-09 07:00:00,2.753,18.601,7.27,8.154,34.704,1.653,52.573
2023-08-09 07:30:00,4.006,18.644,7.257,8.155,34.744,1.793,52.627
2023-08-09 08:00:00,5.69,18.618,7.31,8.156,34.755,1.748,52.642
2023-08-09 08:30:00,5.524,18.588,7.37,8.16,34.744,1.775,52.627
2023-08-09 09:00:00,4.865,18.605,7.428,8.162,34.742,1.86,52.624
2023-08-09 09:30:00,4.053,18.649,7.536,8.168,34.747,1.777,52.63
2023-08-09 10:00:00,3.691,18.675,7.67,8.172,34.741,1.811,52.622
2023-08-09 10:30:00,3.27,18.707,7.661,8.171,34.744,1.862,52.626
2023-08-09 11:00:00,1.632,18.819,7.617,8.164,34.75,1.831,52.635
2023-08-09 11:30:00,1.372,19.342,8.122,8.181,34.853,1.784,52.772
2023-08-09 12:00:00,2.057,19.107,7.758,8.167,34.798,2.357,52.699
2023-08-09 12:30:00,1.651,19.249,7.87,8.171,34.804,2.075,52.706
2023-08-09 13:00:00,1.557,19.346,7.885,8.169,34.809,2.085,52.714
2023-08-09 13:30:00,1.299,19.404,7.804,8.162,34.776,2.296,52.668
2023-08-09 14:00:00,2.182,19.443,7.93,8.169,34.822,2.081,52.73
2023-08-09 14:30:00,2.112,19.549,7.912,8.165,34.808,2.291,52.712
2023-08-09 15:00:00,2.539,19.591,8.113,8.178,34.85,2.014,52.769
2023-08-09 15:30:00,2.848,19.562,8.221,8.183,34.849,1.97,52.768
2023-08-09 16:00:00,2.744,19.572,8.219,8.183,34.852,1.943,52.771
2023-08-09 16:30:00,2.769,19.531,8.171,8.18,34.855,1.941,52.775
2023-08-09 17:00:00,2.823,19.519,8.154,8.182,34.848,1.961,52.766
2023-08-09 17:30:00,3.059,19.442,8.122,8.181,34.855,2.161,52.775
2023-08-09 18:00:00,3.637,19.427,8.084,8.179,34.868,1.915,52.792
2023-08-09 18:30:00,3.62,19.369,8.021,8.178,34.867,1.976,52.792
2023-08-09 19:00:00,3.911,19.379,7.998,8.177,34.881,2.069,52.81
2023-08-09 19:30:00,3.705,19.34,7.951,8.175,34.877,2.051,52.805
2023-08-09 20:00:00,3.57,19.316,7.917,8.175,34.88,2.024,52.809
2023-08-09 20:30:00,4.41,19.309,7.82,8.178,34.898,2.055,52.833
2023-08-09 21:00:00,4.236,19.347,7.723,8.176,34.907,1.891,52.845
2023-08-09 21:30:00,3.542,19.341,7.765,8.175,34.915,1.877,52.856
2023-08-09 22:00:00,3.802,19.286,7.33,8.177,34.911,1.765,52.85
2023-08-09 22:30:00,3.806,19.249,7.446,8.182,34.89,2.188,52.822
2023-08-09 23:00:00,2.967,19.269,7.412,8.173,34.901,2.142,52.837
2023-08-09 23:30:00,3.893,19.238,7.364,8.177,34.894,2.334,52.827
2023-08-10 00:00:00,3.952,19.208,7.075,8.173,34.884,1.938,52.814
2023-08-10 00:30:00,4.178,19.206,7.406,8.176,34.886,2.316,52.818
2023-08-10 01:00:00,3.375,19.207,7.193,8.181,34.89,2.042,52.822
2023-08-10 01:30:00,3.545,19.216,7.323,8.171,34.899,2.154,52.835
2023-08-10 02:00:00,2.923,19.207,6.339,8.169,34.906,1.892,52.844
2023-08-10 02:30:00,3.098,19.192,7.064,8.17,34.901,2.425,52.837
2023-08-10 03:00:00,3.009,19.17,7.307,8.17,34.898,4.12,52.833
2023-08-10 03:30:00,2.828,19.113,7.578,8.163,34.887,1.649,52.819
2023-08-10 04:00:00,3.355,19.075,7.571,8.165,34.884,1.58,52.814
2023-08-10 04:30:00,3.398,19.051,7.333,8.168,34.883,5.209,52.813
2023-08-10 05:00:00,3.327,19.016,7.03,8.167,34.883,1.628,52.813
2023-08-10 05:30:00,3.167,18.975,7.018,8.175,34.882,5.602,52.812
2023-08-10 06:00:00,3.063,18.911,7.254,8.178,34.881,3.67,52.81
2023-08-10 06:30:00,2.997,18.83,6.788,8.163,34.877,5.727,52.805
2023-08-10 07:00:00,2.292,18.802,7.154,8.16,34.885,1.588,52.817
2023-08-10 07:30:00,2.859,18.779,7.076,8.165,34.887,1.787,52.819
2023-08-10 08:00:00,2.459,18.754,6.03,8.168,34.89,4.554,52.824
2023-08-10 08:30:00,2.624,18.745,7.105,8.165,34.89,1.697,52.824
2023-08-10 09:00:00,2.487,18.807,6.987,8.163,34.887,1.832,52.82
2023-08-10 09:30:00,2.377,18.886,7.271,8.162,34.895,1.883,52.83
2023-08-10 10:00:00,1.968,19.001,6.724,8.158,34.874,1.877,52.801
2023-08-10 10:30:00,1.644,19.189,7.24,8.166,34.894,2.078,52.829
2023-08-10 11:00:00,1.697,19.293,6.994,8.159,34.884,1.823,52.815
2023-08-10 11:30:00,1.888,19.587,7.581,8.161,34.909,1.826,52.848
2023-08-10 12:00:00,1.686,19.634,7.61,8.159,34.892,1.681,52.825
2023-08-10 12:30:00,1.416,19.897,7.695,8.161,34.905,1.553,52.843
2023-08-10 13:00:00,2.255,19.942,7.698,8.158,34.883,1.662,52.814
2023-08-10 13:30:00,1.807,19.931,7.708,8.157,34.882,1.864,52.812
2023-08-10 14:00:00,1.917,20.023,7.729,8.155,34.891,2.002,52.825
2023-08-10 14:30:00,2.208,20.02,7.756,8.158,34.926,1.918,52.872
2023-08-10 15:00:00,2.219,20.126,7.821,8.158,34.957,2.249,52.914
2023-08-10 15:30:00,3.001,20.208,7.891,8.158,34.999,2.507,52.972
2023-08-10 16:00:00,3.24,20.222,7.935,8.158,34.99,2.543,52.96
2023-08-10 16:30:00,3.018,20.167,7.899,8.161,35.02,2.681,53.0
2023-08-10 17:00:00,3.233,20.152,7.945,8.157,35.038,2.675,53.025
2023-08-10 17:30:00,3.928,20.102,7.911,8.158,35.049,2.78,53.039
2023-08-10 18:00:00,4.054,20.064,7.922,8.155,35.056,2.674,53.049
2023-08-10 18:30:00,4.174,19.949,7.192,8.159,35.048,2.78,53.037
2023-08-10 19:00:00,4.686,19.904,7.486,8.157,35.038,2.439,53.023
2023-08-10 19:30:00,3.906,19.83,7.606,8.157,35.033,3.575,53.017
2023-08-10 20:00:00,4.187,19.786,6.964,8.154,35.038,3.26,53.023
2023-08-10 20:30:00,4.062,19.748,7.165,8.16,35.04,3.364,53.026
2023-08-10 21:00:00,4.211,19.679,7.431,8.154,35.029,2.691,53.011
2023-08-10 21:30:00,4.493,19.598,7.426,8.161,35.016,2.835,52.993
2023-08-10 22:00:00,4.298,19.465,5.623,8.167,34.965,3.488,52.923
2023-08-10 22:30:00,4.573,19.421,7.364,8.172,34.947,2.253,52.9
2023-08-10 23:00:00,5.262,19.389,6.582,8.173,34.945,1.926,52.896
2023-08-10 23:30:00,4.182,19.356,7.515,8.168,34.938,2.094,52.888
2023-08-11 00:00:00,4.066,19.307,6.748,8.159,34.93,3.694,52.877
2023-08-11 00:30:00,3.923,19.305,6.861,8.164,34.947,2.06,52.9
2023-08-11 01:00:00,3.724,19.258,6.611,8.164,34.945,1.592,52.897
2023-08-11 01:30:00,3.671,19.258,7.258,8.166,34.955,1.897,52.91
2023-08-11 02:00:00,3.139,19.214,7.146,8.164,34.952,1.841,52.906
2023-08-11 02:30:00,3.449,19.206,6.999,8.163,34.956,1.922,52.912
2023-08-11 03:00:00,3.49,19.164,7.05,8.16,34.956,1.54,52.911
2023-08-11 03:30:00,3.223,19.137,7.138,8.164,34.956,1.81,52.912
2023-08-11 04:00:00,3.061,19.165,7.103,8.161,34.98,1.646,52.944
2023-08-11 04:30:00,2.948,19.189,7.15,8.165,34.999,1.638,52.969
2023-08-11 05:00:00,2.231,19.247,7.113,8.164,35.032,1.372,53.015
2023-08-11 05:30:00,1.941,19.231,7.012,8.168,35.048,1.309,53.036
2023-08-11 06:00:00,1.615,19.205,6.872,8.168,35.059,1.396,53.051
2023-08-11 06:30:00,2.091,19.162,6.8,8.171,35.076,1.664,53.074
2023-08-11 07:00:00,3.065,19.079,6.891,8.185,35.072,1.765,53.068
2023-08-11 07:30:00,1.804,19.038,6.81,8.17,35.064,3.731,53.058
2023-08-11 08:00:00,1.37,19.034,6.935,8.165,35.06,1.364,53.052
2023-08-11 08:30:00,1.377,19.074,6.816,8.168,35.062,2.076,53.055
2023-08-11 09:00:00,1.449,19.094,6.968,8.16,35.065,1.365,53.059
2023-08-11 09:30:00,1.455,19.083,6.716,8.161,35.045,1.917,53.031
2023-08-11 10:00:00,1.391,19.253,6.861,8.162,35.062,2.429,53.055
2023-08-11 10:30:00,1.498,19.462,7.117,8.165,35.075,1.91,53.072
2023-08-11 11:00:00,1.834,19.569,7.392,8.177,35.054,2.073,53.044
2023-08-11 11:30:00,1.938,19.642,7.744,8.176,35.028,1.767,53.009
2023-08-11 12:00:00,1.456,19.639,7.524,8.17,35.045,1.424,53.032
2023-08-11 12:30:00,1.618,19.602,7.376,8.168,35.052,1.505,53.042
2023-08-11 13:00:00,1.554,19.798,7.549,8.169,35.05,1.517,53.04
2023-08-11 13:30:00,1.758,19.887,7.492,8.169,35.055,1.528,53.046
2023-08-11 14:00:00,1.827,20.041,7.562,8.165,35.052,1.679,53.042
2023-08-11 14:30:00,1.726,20.208,7.624,8.162,35.035,1.925,53.02
2023-08-11 15:00:00,1.787,20.251,7.642,8.148,35.014,2.179,52.993
2023-08-11 15:30:00,2.715,20.277,7.667,8.148,35.008,2.292,52.985
2023-08-11 16:00:00,2.832,20.285,7.801,8.147,35.022,2.552,53.004
2023-08-11 16:30:00,3.266,20.146,7.772,8.147,35.034,2.646,53.019
2023-08-11 17:00:00,3.125,20.23,7.802,8.145,35.026,2.595,53.009
2023-08-11 17:30:00,5.682,20.15,7.651,8.145,35.047,4.041,53.036
2023-08-11 18:00:00,5.962,20.14,7.624,8.139,35.065,4.162,53.06
2023-08-11 18:30:00,4.336,20.115,7.536,8.143,35.067,3.614,53.064
2023-08-11 19:00:00,4.142,20.107,7.491,8.144,35.072,3.227,53.07
2023-08-11 19:30:00,4.397,19.95,7.174,8.152,35.031,3.562,53.014
2023-08-11 20:00:00,4.174,19.885,7.138,8.149,35.018,2.333,52.996
2023-08-11 20:30:00,3.925,19.904,7.617,8.167,35.03,1.967,53.013
2023-08-11 21:00:00,3.864,19.89,7.508,8.163,35.028,1.639,53.009
2023-08-11 21:30:00,4.076,19.922,7.648,8.168,35.041,1.769,53.028
2023-08-11 22:00:00,3.625,19.892,7.479,8.171,35.038,1.547,53.024
2023-08-11 22:30:00,3.499,19.854,7.633,8.168,35.042,1.557,53.028
2023-08-11 23:00:00,3.298,19.893,7.595,8.18,35.054,1.365,53.045
2023-08-11 23:30:00,3.717,19.905,7.322,8.171,35.082,1.324,53.082
